"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"NOV",1.52744950007966e-89,-0.914125377888023,0.208,0.557,3.16380614951501e-85,"0","NOV"
"COL8A1",4.61742935706865e-68,-0.706797591885391,0.074,0.339,9.5640814272963e-64,"0","COL8A1"
"CCL2",4.89713218394029e-62,-0.971865573298432,0.128,0.404,1.01434298925955e-57,"0","CCL2"
"PTGDS",6.07442343190904e-61,1.06614598364547,0.259,0.052,1.25819532545132e-56,"0","PTGDS"
"RERGL.1",0,1.5828547072556,0.705,0.036,0,"1","RERGL"
"S100A10.1",9.86709979962928e-305,-1.75263983735903,0.295,0.967,2.04377238149721e-300,"1","S100A10"
"EFEMP1",1.19653682845057e-286,-1.62988314406116,0.156,0.888,2.47838673276967e-282,"1","EFEMP1"
"FABP4",1.64619773690264e-280,1.02871308148989,0.568,0.023,3.40976937244643e-276,"1","FABP4"
"C11orf96.1",5.87231687992666e-273,1.94509968998115,0.976,0.651,1.21633299533921e-268,"1","C11orf96"
"IGFBP6.1",1.6227249604632e-262,-2.56341661484061,0.33,0.908,3.36115021060743e-258,"1","IGFBP6"
"OGN",2.95079257280197e-261,-1.46788024851155,0.26,0.907,6.11197665604472e-257,"1","OGN"
"MCAM.1",2.99280134890038e-239,0.874525108009107,0.744,0.144,6.19898943397737e-235,"1","MCAM"
"OMD.1",8.60031022586335e-239,-1.28214176978402,0.01,0.74,1.78138225708308e-234,"1","OMD"
"BCAM",1.2077209110056e-238,0.858943776637027,0.687,0.122,2.50155232296591e-234,"1","BCAM"
"NRGN.1",3.15186091192492e-237,0.874536088714178,0.671,0.101,6.52844950687008e-233,"1","NRGN"
"CSRP2.1",1.41898778881108e-232,0.988829704216839,0.778,0.188,2.93914940696439e-228,"1","CSRP2"
"TINAGL1.1",5.69850210741557e-223,0.847883013419335,0.868,0.287,1.18033074150899e-218,"1","TINAGL1"
"PTGIS",7.21364450431633e-220,-1.00007402102254,0.024,0.712,1.49416218617904e-215,"1","PTGIS"
"ANXA2.1",3.45153650502783e-206,-0.951039199121819,0.564,0.936,7.14916756286414e-202,"1","ANXA2"
"FBLN1.1",1.7118356087939e-205,-2.49497417089464,0.045,0.697,3.54572509649481e-201,"1","FBLN1"
"COL1A2",3.57546996427968e-205,-1.37833466619429,0.322,0.857,7.4058709370125e-201,"1","COL1A2"
"FBLN5",4.04134010293467e-200,-0.859751182897827,0.039,0.687,8.37082775520858e-196,"1","FBLN5"
"ARL6IP5",9.55352667729192e-200,-0.817552290837809,0.627,0.94,1.97882198066748e-195,"1","ARL6IP5"
"VCAN",4.01065023693166e-197,-1.43084424852522,0.103,0.746,8.30725983575655e-193,"1","VCAN"
"TAGLN.1",1.11258094428787e-194,1.11225478754758,0.989,0.781,2.30448890990347e-190,"1","TAGLN"
"LTBP4.1",2.26853954881922e-192,-1.02472138410575,0.225,0.799,4.69882596746925e-188,"1","LTBP4"
"HES4.1",1.49895447086474e-191,0.831244131414839,0.755,0.217,3.10478439550213e-187,"1","HES4"
"ADIRF.1",3.41321535853762e-191,1.00992817137075,0.975,0.749,7.06979297213898e-187,"1","ADIRF"
"ADH1B.1",1.78483758338536e-189,-1.60887744963135,0.093,0.712,3.6969340864661e-185,"1","ADH1B"
"PRELP",2.59078320305875e-184,-1.00533305544346,0.314,0.826,5.36628924849558e-180,"1","PRELP"
"ACTA2.1",9.92519426780533e-183,1.10011504577093,0.959,0.433,2.05580548869052e-178,"1","ACTA2"
"FGL2",3.89003631290008e-181,-1.29725487316925,0.03,0.641,8.05743221490994e-177,"1","FGL2"
"LBH.1",3.45974793349136e-180,0.830335243910844,0.757,0.239,7.16617589464066e-176,"1","LBH"
"ITGBL1",5.44196319870581e-176,-0.903871121195021,0.033,0.634,1.12719383734794e-171,"1","ITGBL1"
"SFRP2.1",9.17937876131355e-175,-3.00810789073933,0.006,0.605,1.90132472283088e-170,"1","SFRP2"
"CCDC80.1",1.50127200293468e-169,-1.67025672885771,0.344,0.792,3.10958469967859e-165,"1","CCDC80"
"LRP1.1",3.49879535513534e-167,-0.874798876770789,0.124,0.696,7.24705481909182e-163,"1","LRP1"
"SPARCL1",4.65607041648825e-167,1.13360973908918,0.986,0.767,9.64411865367212e-163,"1","SPARCL1"
"FILIP1L.1",8.93647760824718e-165,1.13701462072383,0.896,0.523,1.85101260699624e-160,"1","FILIP1L"
"PPP1R12A",1.43357658210769e-164,0.746761831345705,0.821,0.407,2.96936717451966e-160,"1","PPP1R12A"
"C1R.1",6.17273700537004e-164,-1.40909081919494,0.607,0.88,1.2785590159223e-159,"1","C1R"
"CLU",7.21140853564741e-161,-1.19344195569906,0.616,0.935,1.49369904998865e-156,"1","CLU"
"ADAMTS1",3.71092073640319e-160,0.835245625961928,0.767,0.295,7.68643012131192e-156,"1","ADAMTS1"
"FSTL1",5.75915982740818e-160,-0.896147585461546,0.134,0.683,1.19289477505106e-155,"1","FSTL1"
"ATF3",3.75753451887561e-158,1.05837616482973,0.827,0.386,7.78298124894706e-154,"1","ATF3"
"SORBS2.1",4.75972390253655e-155,0.966520598115568,0.599,0.161,9.85881611932395e-151,"1","SORBS2"
"CTSK.1",7.45983307059673e-155,-0.877323367925504,0.079,0.627,1.5451552239127e-150,"1","CTSK"
"BTG1",1.36941922158805e-152,0.958694875465063,0.893,0.537,2.83647803367532e-148,"1","BTG1"
"MMP2.1",3.02905030852904e-151,-0.998671133010124,0.014,0.558,6.27407190405619e-147,"1","MMP2"
"ITM2A.1",4.18862219880336e-151,-1.12268475443774,0.033,0.573,8.6758931603814e-147,"1","ITM2A"
"TIMP2",1.00735491027746e-150,-0.754863876567217,0.389,0.819,2.08653422565771e-146,"1","TIMP2"
"LUM.1",8.98134929200789e-149,-1.78893312079062,0.074,0.607,1.86030687885359e-144,"1","LUM"
"SFRP4.1",2.30721220637912e-148,-2.04375894384926,0.031,0.566,4.77892864307306e-144,"1","SFRP4"
"MYH11.1",5.35948982187502e-147,0.884291526999191,0.843,0.356,1.11011112680497e-142,"1","MYH11"
"RGS16",1.01210710511324e-142,0.933279064258066,0.564,0.133,2.09637744682105e-138,"1","RGS16"
"FBLN2.1",2.12889945114641e-142,-1.31691260504611,0.013,0.533,4.40958943315957e-138,"1","FBLN2"
"S100A13",2.15890902896254e-141,-0.734312361812671,0.275,0.75,4.47174827169011e-137,"1","S100A13"
