"Feature","Gain","Cover","Frequency"
"COL14A1",0.000356619795881703,0.00067935916304552,0.00329102021626704
"C3",0.000355717477379936,0.000722325092011191,0.00141043723554302
"TNFRSF12A",0.000351853293653382,0.000628312563444669,0.000470145745181006
"GRIA2",0.000351207083036647,0.00249205672857844,0.000470145745181006
"NOV",0.000347844780902339,0.000159667154326304,0.000940291490362012
"TNFSF13B",0.000344629952977073,0.00209174143796743,0.000470145745181006
"FHL1",0.000343592466424873,0.00039657311029317,0.00235072872590503
"NRGN",0.000337357737131281,0.00100294492105348,0.00282087447108604
"RPS7",0.000335750597748251,0.0026417290664679,0.000940291490362012
"MRPL18",0.00033418594331847,0.000464570501456058,0.000470145745181006
"SLIT3",0.000323546183364115,0.00102784150268565,0.00376116596144805
"LMO3",0.000323158452001717,0.00053685579304027,0.00188058298072402
"COL1A2",0.000316466472782393,0.000451036038599807,0.000470145745181006
"RPL35A",0.000313297924001264,0.00246969583959067,0.000470145745181006
"KIAA1143",0.00029995675005725,0.0036757760048221,0.000470145745181006
"SFRP4",0.000298161199142425,0.00177138529863553,0.00141043723554302
"SELE",0.000298026904754368,0.00224869174831032,0.000470145745181006
"PCSK7",0.000297994604208244,9.82369107780439e-05,0.000470145745181006
"DOCK5",0.000296475554954481,9.96395795605105e-05,0.000470145745181006
"PAPPA2",0.00029601957807964,0.00306540371862399,0.000470145745181006
"EGR1",0.000292914706804818,0.000798420430297488,0.00470145745181006
"CRISPLD2",0.000288775069812053,0.000377642185266472,0.000470145745181006
"A4GALT",0.000286383131997698,0.00251423927462495,0.000470145745181006
"SH3BGRL3",0.000284752803119036,0.000551657404961351,0.000940291490362012
"MYLK",0.000283264307086646,0.00223594944730219,0.000940291490362012
"NDUFS5",0.000281226876502624,0.000149134316669456,0.000940291490362012
"IGFBP4",0.000280401415328149,0.000177610607967557,0.000470145745181006
"SMC1A",0.000277566330994987,0.000258940935237803,0.000470145745181006
"LTBP2",0.000276289635684282,0.000982134422569835,0.00282087447108604
